id;start_date;end_date;language
1;2019-11-21T10:10:25;2019-11-21T03:18:42;FRENCH
2;2019-11-20T20:46:41;2019-11-21T09:32:22;ENGLISH
3;2019-11-20T20:13:08;2019-11-20T22:09:27;FRENCH
4;2019-11-21T07:58:58;2019-11-21T00:20:36;ENGLISH
5;2019-11-21T11:08:33;2019-11-21T11:43:30;FRENCH
6;2019-11-20T17:23:50;2019-11-20T14:25:12;SPANISH
7;2019-11-21T02:33:54;2019-11-21T05:37:01;ENGLISH
8;2019-11-21T04:21:51;2019-11-21T12:46:29;FRENCH
9;2019-11-21T04:56:15;2019-11-21T13:33:39;ENGLISH
10;2019-11-20T22:07:11;2019-11-20T21:30:47;SPANISH
